sample_ID,compound_seen,strain_seen,time_seen,plate_seen,source_seen,instrument_seen,time_distance,expert_disagreement,compound_log1p_count,strain_log1p_count,plate_log1p_count,A,B,C,n_obs_proteins,axis,fold_id,field_col,gate_value
B1650,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2291889282068745,5.517452896464707,7.226209010100671,0.0,0.1874772730267809,-0.0381970833043803,0.0432322278556331,4025,plate,0,Yeast_cell_plate,0.6482801
B1653,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2211214054967732,6.226536669287466,7.245655067594535,0.0,0.2501684976921323,-0.0335219075569008,0.0423713498366607,4144,plate,0,Yeast_cell_plate,0.6497599
B1654,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2400199336996219,5.517452896464707,7.245655067594535,0.0,0.2030297212691645,-0.0444265341497836,0.0492270759775073,4140,plate,0,Yeast_cell_plate,0.649102
B1655,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2595309694057345,6.226536669287466,7.16703787691222,0.0,0.2394464029086955,-0.0566860171231195,0.0576068060156896,4186,plate,0,Yeast_cell_plate,0.6499603
B1656,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2729182551580734,5.517452896464707,7.16703787691222,0.0,0.332100358169657,-0.0925845322056722,0.0655949644103753,4172,plate,0,Yeast_cell_plate,0.6498126
B1672,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2723539212195525,5.828945617610208,7.212294468500341,0.0,0.2284273260038385,-0.0649814966978789,0.0674349345680913,4055,plate,0,Yeast_cell_plate,0.64993465
B1674,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2344822138228103,5.828945617610208,7.226209010100671,0.0,0.2530410797555473,-0.0472556921781597,0.0472474800346578,4028,plate,0,Yeast_cell_plate,0.64954424
B1678,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2486137914672913,5.828945617610208,7.245655067594535,0.0,0.2046304441518088,-0.0426770242235218,0.0553733527762654,4134,plate,0,Yeast_cell_plate,0.649793
B1680,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2500955177756684,5.828945617610208,7.16703787691222,0.0,0.3295695475070375,-0.0791747408558466,0.0546327976150373,4171,plate,0,Yeast_cell_plate,0.64977133
B1683,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2229820215180471,5.525452939131784,7.212294468500341,0.0,0.2682366569602004,-0.0368472902054521,0.0417419254263006,4078,plate,0,Yeast_cell_plate,0.64753413
B1684,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2724427158698151,5.529429087511423,7.212294468500341,0.0,0.2528081004969605,-0.0885991541198421,0.06705002094096,4073,plate,0,Yeast_cell_plate,0.6498327
B1685,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2357154905604967,5.525452939131784,7.226209010100671,0.0,0.2239922943607713,-0.043140918119992,0.0480536369290149,4070,plate,0,Yeast_cell_plate,0.64884025
B1686,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2697605733189519,5.529429087511423,7.226209010100671,0.0,0.2878243291712148,-0.0664266390504372,0.0636971322551868,4047,plate,0,Yeast_cell_plate,0.64981353
B1689,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.243920936404683,5.525452939131784,7.245655067594535,0.0,0.2292376523098471,-0.0354393347325276,0.0520858288349305,4136,plate,0,Yeast_cell_plate,0.64929295
B1690,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2298454216113936,5.529429087511423,7.245655067594535,0.0,0.2447257872095354,-0.0559816070762253,0.0455717228071969,4094,plate,0,Yeast_cell_plate,0.6484778
B1691,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.276046729462678,5.525452939131784,7.16703787691222,0.0,0.3021828833860618,-0.0613180830118478,0.0663193195362264,4157,plate,0,Yeast_cell_plate,0.6498446
B1692,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2778963165589995,5.529429087511423,7.16703787691222,0.0,0.2732752389860665,-0.0932954218774506,0.0687706533823638,4106,plate,0,Yeast_cell_plate,0.64986056
B1695,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2565885482763761,5.537334267018537,7.212294468500341,0.0,0.1721323814914236,-0.0555585911679214,0.0519230763246945,3922,plate,0,Yeast_cell_plate,0.64962685
B1697,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2745466804288053,5.537334267018537,7.226209010100671,0.0,0.1719890723557239,-0.0559915927342375,0.0635766743411638,3804,plate,0,Yeast_cell_plate,0.6498581
B1701,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2153311101102357,5.537334267018537,7.245655067594535,0.0,0.1560089273120837,-0.0285474357218431,0.0385715111329253,3929,plate,0,Yeast_cell_plate,0.6465861
