sample_ID,compound_seen,strain_seen,time_seen,plate_seen,source_seen,instrument_seen,time_distance,expert_disagreement,compound_log1p_count,strain_log1p_count,plate_log1p_count,A,B,C,n_obs_proteins,axis,fold_id,field_col,gate_value
B1707,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2425643427480385,5.521460917862246,7.212294468500341,0.0,0.2946115785434746,-0.064876222235338,0.0505158068686815,4076,plate,0,Yeast_cell_plate,0.6491683
B1708,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2689280648948466,5.513428746164983,7.212294468500341,0.0,0.2742051497822734,-0.0767628027498897,0.0638821276030826,4095,plate,0,Yeast_cell_plate,0.64978886
B1709,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2232689072060671,5.521460917862246,7.226209010100671,0.0,0.216920789645245,-0.0361502951594066,0.042465586594699,4045,plate,0,Yeast_cell_plate,0.64761853
B1710,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1999978006227046,5.513428746164983,7.226209010100671,0.0,0.2317420866588143,-0.0322244396409194,0.0325996000692321,4066,plate,0,Yeast_cell_plate,0.64082754
B1713,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2010159633854273,5.521460917862246,7.245655067594535,0.0,0.2057999737309121,-0.0183390152680798,0.0342155490768349,4142,plate,0,Yeast_cell_plate,0.6419021
B1714,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1852573537191879,5.513428746164983,7.245655067594535,0.0,0.2635775889239922,-0.035567975331169,0.0270979076365512,4125,plate,0,Yeast_cell_plate,0.6324185
B1715,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2657564258990874,5.521460917862246,7.16703787691222,0.0,0.2938639077156325,-0.0744045324089801,0.0624274953090774,4186,plate,0,Yeast_cell_plate,0.6497314
B1716,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2683881793454198,5.513428746164983,7.16703787691222,0.0,0.242785100883054,-0.0629270807914795,0.0639282017545724,4180,plate,0,Yeast_cell_plate,0.64975977
B1722,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2458362519375971,6.226536669287466,7.226209010100671,0.0,0.1898993688645267,-0.0343953533745977,0.0511794430473594,4012,plate,0,Yeast_cell_plate,0.64992994
B1726,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2211214054967732,6.226536669287466,7.245655067594535,0.0,0.2141351923514748,-0.0479610341111898,0.0436576455120542,4153,plate,0,Yeast_cell_plate,0.6497599
B1728,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2595309694057345,6.226536669287466,7.16703787691222,0.0,0.2234492205610707,-0.0502226241273589,0.0576818807549032,4190,plate,0,Yeast_cell_plate,0.6499603
B1-1539,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2520905733674453,5.869296913133774,7.212294468500341,0.0,0.105522725884996,-0.0241689277630864,0.0232087000468486,3696,plate,0,Yeast_cell_plate,0.6498363
B1-1541,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2758857769064416,5.869296913133774,7.226209010100671,0.0,0.0989891764049014,-0.0248436765117757,0.0378548463052595,3609,plate,0,Yeast_cell_plate,0.6499535
B1-1545,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2343849247916892,5.869296913133774,7.245655067594535,0.0,0.1801701755985067,-0.025128060124766,0.0277655546860414,3739,plate,0,Yeast_cell_plate,0.6496159
B1-1547,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2507058892115468,5.869296913133774,7.16703787691222,0.0,0.1749348910508819,-0.0250069690689677,0.0288670559696062,3874,plate,0,Yeast_cell_plate,0.64980525
B1-1551,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2403165575540826,6.226536669287466,7.212294468500341,0.0,0.122260928348298,-0.0176106860535767,0.019175349769984,3694,plate,0,Yeast_cell_plate,0.64990413
B1-1552,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2826466316031096,5.517452896464707,7.212294468500341,0.0,0.1896352177498223,-0.0353248639280628,0.0346493951615255,3727,plate,0,Yeast_cell_plate,0.6498976
B1-1553,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2680005848352828,6.226536669287466,7.226209010100671,0.0,0.1005439645360777,-0.0202181507885641,0.0321609339311726,3591,plate,0,Yeast_cell_plate,0.64997745
B1-1554,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3330610279052133,5.517452896464707,7.226209010100671,0.0,0.2172858267620723,-0.074403267541851,0.0642072415562967,3624,plate,0,Yeast_cell_plate,0.6499928
B1-1557,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2367586379904377,6.226536669287466,7.245655067594535,0.0,0.1448644280353375,-0.0310559008141542,0.0286501835228698,3810,plate,0,Yeast_cell_plate,0.6498933
B1-1558,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2559966678589745,5.517452896464707,7.245655067594535,0.0,0.1356203740151226,-0.0229623337540699,0.0326062073851438,3759,plate,0,Yeast_cell_plate,0.6496194
B1-1559,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2253556565139361,6.226536669287466,7.16703787691222,0.0,0.1298014194562732,-0.0198333912338288,0.0205930425076857,3844,plate,0,Yeast_cell_plate,0.6497699
B1-1560,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2985617258088152,5.517452896464707,7.16703787691222,0.0,0.1491714361898562,-0.0437410723357629,0.0550818520693181,3851,plate,0,Yeast_cell_plate,0.6499504
B1-1576,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2651164768815689,5.828945617610208,7.212294468500341,0.0,0.1410153375085726,-0.0190653362567934,0.0247054499854576,3612,plate,0,Yeast_cell_plate,0.649905
B1-1578,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2743848742967862,5.828945617610208,7.226209010100671,0.0,0.151356018112539,-0.0257298645768025,0.0338293289915432,3545,plate,0,Yeast_cell_plate,0.6499429
B1-1582,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2298469282225118,5.828945617610208,7.245655067594535,0.0,0.1443999995540655,-0.0174555081879977,0.0237853925397136,3768,plate,0,Yeast_cell_plate,0.64944017
B1-1584,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2556474394227656,5.828945617610208,7.16703787691222,0.0,0.1300217441069025,-0.0215097140714227,0.03031420045802,3867,plate,0,Yeast_cell_plate,0.6498286
