entity,n_rows,sample_pcc,sample_pcc_median,log2_rmse,log2_mae,r2,axis,fold_id,candidate
WAY_CP12,34,0.9849245564064636,0.9894200187180946,0.4506247968457304,0.31077720239906464,0.9660504315607584,plate,1,mask_compound
WAY_CP3,34,0.9890500628574678,0.991945772520732,0.38047697253645685,0.2600238051720617,0.9755167114217469,plate,1,mask_compound
WAY_CP45,64,0.9898245722528246,0.9939113119925149,0.37322963847457974,0.2531673105097705,0.9775006398977134,plate,1,mask_compound
WAY_CP46,71,0.993015590653955,0.9949580830159928,0.30969844018582793,0.20764765679589164,0.9839457610839308,plate,1,mask_compound
WAY_CP55,33,0.9782149435958019,0.9792588235638752,0.5656658144705369,0.3909964779996925,0.9548848672798551,plate,1,mask_compound
WAY_CP62,31,0.9938455940267376,0.9945985046604254,0.3119343677150559,0.21511600678170517,0.9865836559541383,plate,1,mask_compound
WAY_B-1_P13,40,0.9918877602347562,0.9924012898661472,0.3707986695528736,0.2438462988318409,0.9832176726584306,plate,2,mask_compound
WAY_B-1_P16,38,0.993756619267581,0.9943214400646652,0.32742497049312375,0.22856474824995995,0.9870094879313671,plate,2,mask_compound
WAY_B-2_P12,39,0.9906112909243995,0.9908729422140173,0.3905500188355324,0.2735270019891933,0.9804639584087187,plate,2,mask_compound
WAY_B-2_P5,37,0.9938265193327029,0.9939392776765269,0.31994177774388716,0.21946300638931732,0.9872168553284055,plate,2,mask_compound
WAY_B-2_P9,38,0.9913881115617477,0.9921746514146403,0.3676017253706859,0.25050129555871214,0.9822100965661974,plate,2,mask_compound
WAY_BP5,36,0.992066833494134,0.9922381031075517,0.3484419002959145,0.24419698443988516,0.9830492810735313,plate,2,mask_compound
WAY_CP19,35,0.9772765878951556,0.977072814457657,0.5629188823865324,0.40358161770207623,0.9515087913500467,plate,2,mask_compound
WAY_CP42,63,0.9854204272041962,0.9886926246727359,0.4620987333503734,0.3198851291532301,0.9675745940437399,plate,2,mask_compound
WAY_CP47,71,0.9934477124042284,0.9958838321840311,0.29618298461988424,0.19453182567423394,0.9857244856534099,plate,2,mask_compound
WAY_CP53,34,0.9928358232705096,0.9933338155684985,0.3324045220773614,0.23792672012717841,0.9847033223223283,plate,2,mask_compound
WAY_CP59,33,0.9906428525995998,0.9923993971413637,0.3737769044982971,0.24650527873009864,0.9801528652305378,plate,2,mask_compound
WAY_CP63,31,0.9940653993985807,0.9945611415435094,0.29900129353262783,0.20107940870314212,0.9878178658430761,plate,2,mask_compound
WAY_B-2_P20,38,0.9957367172583687,0.9957794491706073,0.2663243380716979,0.18652114419191668,0.9907822806621338,plate,3,mask_compound
WAY_B-2_P4,40,0.9927969201031374,0.9930878580290805,0.34513575305439914,0.23755724079730886,0.9849478246191797,plate,3,mask_compound
WAY_BP14,39,0.9922738611586683,0.9926904171519186,0.33669964558188775,0.23368435436205398,0.9837942303418399,plate,3,mask_compound
WAY_BP2,36,0.9942070889457053,0.9942097821034874,0.29343395183501453,0.2002985867855863,0.9877811712807549,plate,3,mask_compound
WAY_BP7,38,0.9945909727708275,0.994593332159764,0.29144022167668315,0.20663945073548906,0.9880854752317596,plate,3,mask_compound
WAY_CP15,34,0.9603208538606988,0.9620512757562929,0.9050753101610803,0.69940307080261,0.898999159811753,plate,3,mask_compound
WAY_CP16,35,0.9687606823549745,0.9730106283947113,0.7822285143837221,0.5876920867108187,0.9243602732463015,plate,3,mask_compound
WAY_CP28,70,0.9909020040131487,0.9924743206832851,0.3714222013256846,0.26106497763147235,0.980077497294176,plate,3,mask_compound
WAY_CP29,67,0.9841156707698535,0.987042974714205,0.4723735385225437,0.33989717522311524,0.9663386565934803,plate,3,mask_compound
WAY_CP56,34,0.9914992432041446,0.9916232486899277,0.3578400410497411,0.24784012570622344,0.9820785096730025,plate,3,mask_compound
WAY_CP65,33,0.9931106617418411,0.9941843343532423,0.32797314731976857,0.23375671189550573,0.9851650401900114,plate,3,mask_compound
WAY_CP68,31,0.9911471891883537,0.9917808679220033,0.3612895614884786,0.24835492737410603,0.9817796954626588,plate,3,mask_compound
WAY_B-2_P24,38,0.9921818526526097,0.9927088344397543,0.3593513881737657,0.24996471549642466,0.9836696354408094,plate,4,mask_compound
WAY_B-2_P3,29,0.9939162226652815,0.9945614113028018,0.31552719741941354,0.21547446364724687,0.9873179203383106,plate,4,mask_compound
WAY_BP11,40,0.9945639433258409,0.9946328194138949,0.30276193297809023,0.2179318866608189,0.9871356480064485,plate,4,mask_compound
